GeneID	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000073799	1.32859536654236e-33	5.0259229721644e-31	-1.67886686071465	16	31470561	31477093	-1	protein_coding	zgc:194210	zgc:194210 [Source:ZFIN;Acc:ZDB-GENE-030131-2476]
ENSDARG00000070360	2.7378286371563e-33	1.01614768153777e-30	-1.51422595412867	11	34786649	34794614	1	protein_coding	fam212aa	family with sequence similarity 212, member Aa [Source:ZFIN;Acc:ZDB-GENE-060512-186]
ENSDARG00000014465	7.30430255178977e-33	2.66079510178253e-30	-1.36141864043584	6	39258634	39278385	-1	protein_coding	arhgef25b	Rho guanine nucleotide exchange factor (GEF) 25b [Source:ZFIN;Acc:ZDB-GENE-080225-17]
ENSDARG00000044261	7.92853122508471e-33	2.83567523142984e-30	-1.14722942340859	10	9716739	9737507	1	protein_coding	si:ch211-243g18.2	si:ch211-243g18.2 [Source:ZFIN;Acc:ZDB-GENE-030131-2830]
ENSDARG00000044375	2.77725494405696e-32	9.75560392938293e-30	-1.33453816636456	21	38264843	38267535	1	protein_coding	zgc:158291	zgc:158291 [Source:ZFIN;Acc:ZDB-GENE-061215-70]
ENSDARG00000105223	4.55203563159142e-32	1.57093145454447e-29	-1.05871501944489	3	49821187	49825090	-1	protein_coding	pmp22a	peripheral myelin protein 22a [Source:ZFIN;Acc:ZDB-GENE-030131-6757]
ENSDARG00000075622	6.70623407037463e-32	2.27445397238516e-29	-1.37681614812106	16	46601638	46606118	-1	protein_coding	zgc:174938	zgc:174938 [Source:ZFIN;Acc:ZDB-GENE-070928-44]
ENSDARG00000101613	1.46907296449864e-31	4.89798886180556e-29	1.17099436067348	11	31022067	31057557	1	protein_coding	si:dkey-238i5.2	si:dkey-238i5.2 [Source:ZFIN;Acc:ZDB-GENE-030131-9718]
ENSDARG00000019566	2.98959657858289e-31	9.801392382884e-29	-1.26399353320032	9	44489979	44493329	-1	protein_coding	neurod1	neuronal differentiation 1 [Source:ZFIN;Acc:ZDB-GENE-990415-172]
ENSDARG00000019564	6.20805220098775e-31	2.00194417779721e-28	-1.06950967957956	20	29731774	29772579	1	protein_coding	asap2b	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5060]
ENSDARG00000026531	7.87566471458108e-31	2.4987451709762e-28	-0.662677766513685	10	28845124	28949177	-1	protein_coding	alcama	activated leukocyte cell adhesion molecule a [Source:ZFIN;Acc:ZDB-GENE-990415-30]
ENSDARG00000012066	1.29019144198304e-30	4.02846918337275e-28	-1.1254054268021	4	16379786	16417761	-1	protein_coding	dcn	decorin [Source:ZFIN;Acc:ZDB-GENE-010102-1]
ENSDARG00000068910	3.96838901240291e-30	1.21972156660902e-27	-1.5610316748553	5	11599909	11723105	-1	protein_coding	nos1	nitric oxide synthase 1 (neuronal) [Source:ZFIN;Acc:ZDB-GENE-001101-1]
ENSDARG00000056836	1.0430378292272e-29	3.1565534059582e-27	-0.995282300813806	17	22524812	22532842	-1	protein_coding	si:ch211-125o16.4	si:ch211-125o16.4 [Source:ZFIN;Acc:ZDB-GENE-131120-100]
ENSDARG00000005210	3.11971653844386e-29	9.29817333753471e-27	-1.01694898633983	1	25911351	25960597	1	protein_coding	coro2a	coronin, actin binding protein, 2A [Source:ZFIN;Acc:ZDB-GENE-030131-2258]
ENSDARG00000068177	4.63810835349325e-29	1.36173476748606e-26	-0.711981591430234	2	36626449	36654420	1	protein_coding	pak2a	p21 protein (Cdc42/Rac)-activated kinase 2a [Source:ZFIN;Acc:ZDB-GENE-021011-2]
ENSDARG00000034080	8.85999924805305e-29	2.56301537071252e-26	-0.994112437235758	2	21729842	21780493	-1	protein_coding	plcd1b	phospholipase C, delta 1b [Source:ZFIN;Acc:ZDB-GENE-030131-9435]
ENSDARG00000042707	5.85008952697473e-28	1.66778421862493e-25	-1.40940664839688	9	21590320	21594197	1	protein_coding	cx30.3	connexin 30.3 [Source:ZFIN;Acc:ZDB-GENE-040406-1]
ENSDARG00000095580	6.79613465099592e-28	1.90981092456772e-25	-1.13453433498176	9	14181008	14226301	1	protein_coding	si:ch211-67e16.11	si:ch211-67e16.11 [Source:ZFIN;Acc:ZDB-GENE-030131-7044]
ENSDARG00000037362	8.54754892382638e-28	2.36815260395195e-25	0.702111405099621	7	28298036	28339926	-1	protein_coding	scube2	signal peptide, CUB domain, EGF-like 2 [Source:ZFIN;Acc:ZDB-GENE-050302-80]
ENSDARG00000042296	1.25237978579907e-27	3.42160593978521e-25	-1.09649408669223	19	41885161	41887173	-1	protein_coding	dlx5a	distal-less homeobox 5a [Source:ZFIN;Acc:ZDB-GENE-990415-49]
ENSDARG00000036457	1.43059864699358e-27	3.8549734226042e-25	-1.45053472062743	19	9832092	9879945	1	protein_coding	cacng6a	calcium channel, voltage-dependent, gamma subunit 6a [Source:ZFIN;Acc:ZDB-GENE-060503-440]
ENSDARG00000097902	1.56074815516065e-27	4.14884823786015e-25	-1.10566913000645	17	16038199	16076645	1	protein_coding	si:ch73-204p21.2	si:ch73-204p21.2 [Source:ZFIN;Acc:ZDB-GENE-050208-49]
ENSDARG00000074967	2.41231269561974e-27	6.32701373807146e-25	-0.806502189585996	15	29159651	29181573	-1	protein_coding	TMEM87A	transmembrane protein 87A [Source:HGNC Symbol;Acc:HGNC:24522]
ENSDARG00000055715	2.48003759727189e-27	6.4190552073599e-25	-1.37084181923929	22	26380642	26612706	1	protein_coding	capn8	calpain 8 [Source:ZFIN;Acc:ZDB-GENE-050522-279]
ENSDARG00000032575	3.89963277937136e-27	9.96229563675506e-25	-0.789405362111435	19	12244900	12274094	-1	protein_coding	ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide [Source:ZFIN;Acc:ZDB-GENE-030131-8554]
ENSDARG00000079570	5.43368974195206e-27	1.37033475530691e-24	-1.14253753129888	16	38504338	38604289	-1	protein_coding	rspo2	R-spondin 2 [Source:ZFIN;Acc:ZDB-GENE-060503-667]
ENSDARG00000004658	8.58530642015814e-27	2.13774129861938e-24	-1.37262993286134	7	7145551	7164981	-1	protein_coding	ENSDARG00000004658	
ENSDARG00000104099	2.01766480713049e-26	4.96118555263297e-24	-1.46942518122163	3	6317624	6325842	-1	lincRNA	si:ch73-144l3.2	si:ch73-144l3.2 [Source:ZFIN;Acc:ZDB-GENE-131121-536]
ENSDARG00000068219	3.71226944819528e-26	9.01531510067275e-24	-1.43562826464526	18	44709889	44715794	1	protein_coding	b3gnt2l	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2, like [Source:ZFIN;Acc:ZDB-GENE-061207-60]
ENSDARG00000052148	3.76639234321458e-26	9.03520777846025e-24	-1.10228308893841	5	64226204	64265272	1	protein_coding	ptgs1	prostaglandin-endoperoxide synthase 1 [Source:ZFIN;Acc:ZDB-GENE-020530-1]
ENSDARG00000039577	4.61028797628486e-26	1.09263825037951e-23	-1.02536956484368	20	19927796	19964548	-1	protein_coding	ptk2bb	protein tyrosine kinase 2 beta, b [Source:ZFIN;Acc:ZDB-GENE-020507-1]
ENSDARG00000069329	1.21404839658842e-25	2.84304119158224e-23	-1.35792339632055	13	30781667	30787828	1	protein_coding	drgx	dorsal root ganglia homeobox [Source:ZFIN;Acc:ZDB-GENE-070330-1]
ENSDARG00000104566	1.45344790911855e-25	3.36362044944365e-23	-1.11410187656109	12	43916243	43918010	-1	protein_coding	foxi1	forkhead box i1 [Source:ZFIN;Acc:ZDB-GENE-030505-1]
ENSDARG00000011672	1.93332491751677e-25	4.42214354098517e-23	-0.932563871704149	8	26564692	26623305	-1	protein_coding	sema3b	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B [Source:ZFIN;Acc:ZDB-GENE-081105-78]
ENSDARG00000079978	9.01423310832145e-25	2.03814918935392e-22	-1.39710718239117	8	22956065	22984887	1	protein_coding	samd10a	sterile alpha motif domain containing 10a [Source:ZFIN;Acc:ZDB-GENE-080204-53]
ENSDARG00000030402	9.58894511833318e-25	2.14345612980377e-22	-1.04352916360935	19	2397417	2399443	-1	protein_coding	twist1a	twist family bHLH transcription factor 1a [Source:ZFIN;Acc:ZDB-GENE-000210-6]
ENSDARG00000043482	1.23918293603104e-24	2.7388727567041e-22	-1.36490602219238	8	13496680	13503809	-1	protein_coding	ENSDARG00000043482	
ENSDARG00000069946	1.34317802436638e-24	2.93573943525678e-22	-1.25237181619347	1	30215219	30260789	1	protein_coding	itga6b	integrin, alpha 6b [Source:ZFIN;Acc:ZDB-GENE-050320-5]
ENSDARG00000043923	1.67416045092874e-24	3.61894617914496e-22	-0.751944251847079	3	62341796	62348451	-1	protein_coding	sox9b	SRY (sex determining region Y)-box 9b [Source:ZFIN;Acc:ZDB-GENE-001103-2]
ENSDARG00000089235	2.45865048376175e-24	5.25696887674755e-22	-1.3771792119554	9	12625610	12653528	-1	protein_coding	tspearb	thrombospondin-type laminin G domain and EAR repeats b [Source:ZFIN;Acc:ZDB-GENE-030131-4270]
ENSDARG00000093521	4.28417266597303e-24	9.06171618412425e-22	-1.3725486383169	8	13559700	13562569	-1	protein_coding	ENSDARG00000093521	
ENSDARG00000007941	5.7351362041078e-24	1.20016876884047e-21	-1.12541737087087	1	40206963	40208545	-1	protein_coding	hmx4	H6 family homeobox 4 [Source:ZFIN;Acc:ZDB-GENE-060825-142]
ENSDARG00000055283	7.18982398296482e-24	1.48874765862001e-21	-0.646791343110291	17	34857951	34860219	1	protein_coding	id2a	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein, a [Source:ZFIN;Acc:ZDB-GENE-020910-1]
ENSDARG00000093584	1.05403029448629e-23	2.15977395029582e-21	-1.10443358323767	13	22545352	22547652	1	protein_coding	zgc:193505	zgc:193505 [Source:ZFIN;Acc:ZDB-GENE-030131-7103]
ENSDARG00000092199	1.13755789453057e-23	2.30689704570216e-21	-1.10143125823645	13	7836689	7897954	-1	protein_coding	si:ch211-250c4.4	si:ch211-250c4.4 [Source:ZFIN;Acc:ZDB-GENE-081107-32]
ENSDARG00000003395	2.12144691060102e-23	4.25826348759517e-21	-1.39456846187663	15	36196895	36254825	1	protein_coding	col4a3	collagen, type IV, alpha 3 [Source:ZFIN;Acc:ZDB-GENE-070802-4]
ENSDARG00000056499	4.42627366964958e-23	8.79487165208857e-21	-0.992554853499671	23	22708356	22724128	-1	protein_coding	ca6	carbonic anhydrase VI [Source:ZFIN;Acc:ZDB-GENE-030131-7091]
ENSDARG00000087596	4.93914259825726e-23	9.71578740503186e-21	-0.915939759971751	15	35105347	35128147	1	protein_coding	si:ch73-95l15.5	si:ch73-95l15.5 [Source:ZFIN;Acc:ZDB-GENE-030131-3481]
ENSDARG00000099902	6.64415666862537e-23	1.29403174087653e-20	-1.19321292645652	11	36983634	37008024	1	protein_coding	ENSDARG00000099902	
ENSDARG00000087345	1.12128820715615e-22	2.16243728656556e-20	-1.36141804048635	1	55990642	55992780	-1	protein_coding	CABZ01059415.2	
ENSDARG00000007582	1.19631886304081e-22	2.28473673348308e-20	-1.18075711023413	20	109544	117377	1	protein_coding	si:ch1073-155h21.1	si:ch1073-155h21.1 [Source:ZFIN;Acc:ZDB-GENE-030131-2664]
ENSDARG00000027807	1.26955377739751e-22	2.40128772646023e-20	-0.981209865769227	20	451800	475349	-1	protein_coding	fynrk	fyn-related Src family tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-110411-7]
ENSDARG00000010770	1.51256683420274e-22	2.83368592339068e-20	0.520693336841397	5	23695380	23697637	-1	protein_coding	sox19a	SRY (sex determining region Y)-box 19a [Source:ZFIN;Acc:ZDB-GENE-980526-102]
ENSDARG00000101701	1.76768932900055e-22	3.28039781044998e-20	-1.08641209963484	13	1741459	1775441	1	protein_coding	bmp5	bone morphogenetic protein 5 [Source:ZFIN;Acc:ZDB-GENE-040426-1413]
ENSDARG00000101892	2.13027418411109e-22	3.91631995099525e-20	-1.00902044524045	16	10531934	10537997	1	protein_coding	ino80e	
ENSDARG00000033466	3.59931851175533e-22	6.55575874488326e-20	-0.952754358845984	5	36487430	36495307	1	protein_coding	tagln2	transgelin 2 [Source:ZFIN;Acc:ZDB-GENE-020802-2]
ENSDARG00000036993	5.26134760342956e-22	9.49504300064797e-20	-1.10455370778045	23	25305870	25361125	1	protein_coding	erbb3b	erb-b2 receptor tyrosine kinase 3b [Source:ZFIN;Acc:ZDB-GENE-050107-1]
ENSDARG00000040606	5.31215439174565e-22	9.49958082182079e-20	-0.822642046872478	6	56157660	56195515	1	protein_coding	tfap2c	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) [Source:ZFIN;Acc:ZDB-GENE-041212-61]
ENSDARG00000000212	1.3204435366822e-21	2.34004007297978e-19	1.01050292091677	22	11726358	11729424	1	protein_coding	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
ENSDARG00000052170	1.69692729584653e-21	2.98038007469617e-19	-0.769577051279398	6	35052811	35068789	-1	protein_coding	uap1	UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1233]
ENSDARG00000088091	2.44211201090725e-21	4.25121994394306e-19	-0.775271655704002	23	44782492	44787674	1	protein_coding	pfn1	profilin 1 [Source:ZFIN;Acc:ZDB-GENE-031002-33]
ENSDARG00000026829	4.10146197126589e-21	7.07718056462907e-19	-0.73125175734101	18	13235319	13248160	1	protein_coding	cotl1	coactosin-like F-actin binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8325]
ENSDARG00000040917	7.9929821572446e-21	1.36721697404486e-18	-0.672065470290892	18	23005047	23083599	1	protein_coding	cbfb	core-binding factor, beta subunit [Source:ZFIN;Acc:ZDB-GENE-980526-440]
ENSDARG00000008697	8.20926864604124e-21	1.37406692887583e-18	-0.835445620916681	12	25684399	25738189	1	protein_coding	epas1a	endothelial PAS domain protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4490]
ENSDARG00000099538	8.21508924486598e-21	1.37406692887583e-18	-1.26274283900939	1	58709741	58711504	-1	protein_coding	si:ch211-188p14.3	si:ch211-188p14.3 [Source:ZFIN;Acc:ZDB-GENE-121214-334]
ENSDARG00000020929	8.24258541036797e-21	1.37406692887583e-18	-0.997651870118026	2	32232054	32279069	-1	protein_coding	fam49ba	family with sequence similarity 49, member Ba [Source:ZFIN;Acc:ZDB-GENE-030131-9537]
ENSDARG00000043242	9.78733466229289e-21	1.61787109362995e-18	-1.18069442503638	22	5697907	5709514	1	protein_coding	si:dkey-222f2.1	si:dkey-222f2.1 [Source:ZFIN;Acc:ZDB-GENE-050208-726]
ENSDARG00000090268	1.02580956121612e-20	1.68155832322353e-18	-1.29028567947046	19	5422878	5429446	-1	protein_coding	krtt1c19e	keratin type 1 c19e [Source:ZFIN;Acc:ZDB-GENE-050506-95]
ENSDARG00000019808	1.17523638809632e-20	1.91058470993742e-18	-0.880112532376008	6	17959266	17983562	1	protein_coding	evpla	envoplakin a [Source:ZFIN;Acc:ZDB-GENE-030829-19]
ENSDARG00000074749	1.34290530715653e-20	2.16526969648165e-18	-1.04954097146058	9	40883826	41043134	-1	protein_coding	abca12	ATP-binding cassette, sub-family A (ABC1), member 12 [Source:ZFIN;Acc:ZDB-GENE-030131-9790]
ENSDARG00000098777	1.5300040014014e-20	2.44688688711927e-18	-0.858735465310321	19	48570665	48628219	1	protein_coding	ENSDARG00000098777	
ENSDARG00000051857	1.72063680584593e-20	2.71727608078789e-18	-0.762723547387032	25	18378629	18400010	1	protein_coding	tes	testis derived transcript (3 LIM domains) [Source:ZFIN;Acc:ZDB-GENE-040718-59]
ENSDARG00000105225	1.72670179502052e-20	2.71727608078789e-18	-1.21556874553499	KN150196.1	54285	64843	1	protein_coding	ENSDARG00000105225	
ENSDARG00000040266	2.48854724428456e-20	3.88509625732712e-18	0.64066524668934	7	26223390	26226754	-1	protein_coding	sox19b	SRY (sex determining region Y)-box 19b [Source:ZFIN;Acc:ZDB-GENE-010111-1]
ENSDARG00000008403	2.59222471257483e-20	4.01509073394168e-18	-1.27134645813331	3	15656117	15661237	1	protein_coding	phospho1	phosphatase, orphan 1 [Source:ZFIN;Acc:ZDB-GENE-040801-198]
ENSDARG00000042816	2.79696205085275e-20	4.29836253924409e-18	-1.26388201012649	8	24260273	24274708	1	protein_coding	mmp9	matrix metallopeptidase 9 [Source:ZFIN;Acc:ZDB-GENE-040426-2132]
ENSDARG00000073870	5.21259633772158e-20	7.94860329917219e-18	-1.16488298581968	14	32879771	32924754	-1	protein_coding	gdpd2	glycerophosphodiester phosphodiesterase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-081107-62]
ENSDARG00000098745	5.33393913696211e-20	8.07107052024474e-18	-1.02025626401546	4	5988658	6039484	1	protein_coding	tfec	transcription factor EC [Source:ZFIN;Acc:ZDB-GENE-041210-21]
